drop_id,pisco_code,MaxN,spp_drop_biomass_mean_kg,spp_drop_biomass_total_kg,pisco_code_metric
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,15,0.2727272727272727,4.090909090909091,bm_SPUL
ANA_209,SPUL,31,0.2727272727272727,8.454545454545453,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
ANA_209,SPUL,17,0.2727272727272727,4.636363636363636,bm_SPUL
ANA_209,SPUL,1,0.2727272727272727,0.2727272727272727,bm_SPUL
